input_node,neighbor_node,weight
99,1727,0.16666666666666666
99,1728,0.16666666666666666
99,1730,0.16666666666666666
99,1785,0.16666666666666666
100,1703,0.13043478260869565
100,1712,0.043478260869565216
100,1721,0.043478260869565216
100,1722,0.13043478260869565
100,1723,0.043478260869565216
100,1726,0.13043478260869565
100,1732,0.043478260869565216
100,1757,0.043478260869565216
100,1781,0.13043478260869565
100,1844,0.13043478260869565
100,1846,0.13043478260869565
101,1695,0.09090909090909091
101,1696,0.09090909090909091
101,1702,0.18181818181818182
101,1707,0.09090909090909091
101,1711,0.18181818181818182
101,1725,0.18181818181818182
101,1736,0.09090909090909091
101,1847,0.09090909090909091
102,1695,0.0625
102,1696,0.0625
102,1706,0.125
102,1734,0.125
102,1738,0.0625
102,1756,0.0625
102,1762,0.0625
102,1764,0.125
102,1779,0.0625
102,1786,0.0625
102,1800,0.0625
102,1808,0.125
103,1695,0.125
103,1706,0.125
103,1722,0.125
103,1726,0.125
103,1742,0.125
103,1746,0.125
103,1776,0.125
103,1802,0.125
104,1695,0.14285714285714285
104,1698,0.14285714285714285
104,1709,0.14285714285714285
104,1714,0.14285714285714285
104,1740,0.14285714285714285
104,1746,0.14285714285714285
104,1812,0.14285714285714285
105,1695,0.1111111111111111
105,1746,0.6666666666666666
105,1776,0.1111111111111111
105,1807,0.1111111111111111
106,1695,0.14285714285714285
106,1710,0.14285714285714285
106,1715,0.14285714285714285
106,1733,0.14285714285714285
106,1746,0.14285714285714285
106,1749,0.14285714285714285
106,1848,0.14285714285714285
107,1695,0.02631578947368421
107,1698,0.02631578947368421
107,1703,0.07894736842105263
107,1708,0.07894736842105263
107,1709,0.07894736842105263
107,1725,0.05263157894736842
107,1733,0.07894736842105263
107,1741,0.07894736842105263
107,1766,0.07894736842105263
107,1783,0.07894736842105263
107,1786,0.02631578947368421
107,1790,0.07894736842105263
107,1792,0.07894736842105263
107,1811,0.07894736842105263
107,1852,0.07894736842105263
108,1695,0.037037037037037035
108,1701,0.1111111111111111
108,1702,0.1111111111111111
108,1709,0.1111111111111111
108,1714,0.1111111111111111
108,1740,0.1111111111111111
108,1743,0.037037037037037035
108,1746,0.1111111111111111
108,1762,0.07407407407407407
108,1766,0.1111111111111111
108,1849,0.07407407407407407
109,1695,0.034482758620689655
109,1702,0.10344827586206896
109,1704,0.10344827586206896
109,1709,0.10344827586206896
109,1731,0.10344827586206896
109,1734,0.10344827586206896
109,1736,0.034482758620689655
109,1746,0.10344827586206896
109,1764,0.10344827586206896
109,1808,0.10344827586206896
109,1821,0.10344827586206896
110,1695,0.125
110,1698,0.125
110,1700,0.125
110,1785,0.25
110,1807,0.25
110,1830,0.125
111,1695,0.05555555555555555
111,1698,0.05555555555555555
111,1741,0.2222222222222222
111,1757,0.1111111111111111
111,1775,0.1111111111111111
111,1783,0.2222222222222222
111,1790,0.1111111111111111
111,1801,0.1111111111111111
112,1695,0.023809523809523808
112,1698,0.023809523809523808
112,1707,0.07142857142857142
112,1725,0.09523809523809523
112,1739,0.047619047619047616
112,1750,0.047619047619047616
112,1765,0.047619047619047616
112,1770,0.07142857142857142
112,1781,0.023809523809523808
112,1789,0.09523809523809523
112,1811,0.07142857142857142
112,1823,0.07142857142857142
112,1828,0.023809523809523808
112,1837,0.09523809523809523
112,1840,0.09523809523809523
112,1851,0.09523809523809523
113,1695,0.017543859649122806
113,1699,0.07017543859649122
113,1705,0.05263157894736842
113,1706,0.14035087719298245
113,1715,0.05263157894736842
113,1720,0.08771929824561403
113,1722,0.07017543859649122
113,1735,0.14035087719298245
113,1749,0.05263157894736842
113,1757,0.05263157894736842
113,1760,0.08771929824561403
113,1803,0.08771929824561403
113,1822,0.08771929824561403
114,1695,0.1
114,1698,0.1
114,1703,0.2
114,1731,0.2
114,1783,0.2
114,1812,0.2
115,1695,0.5
115,1743,0.5
116,1695,0.3333333333333333
116,1698,0.3333333333333333
116,1706,0.3333333333333333
117,1695,0.05555555555555555
117,1698,0.05555555555555555
117,1700,0.05555555555555555
117,1713,0.16666666666666666
117,1724,0.16666666666666666
117,1738,0.16666666666666666
117,1744,0.16666666666666666
117,1786,0.16666666666666666
118,1695,0.05263157894736842
118,1698,0.05263157894736842
118,1700,0.15789473684210525
118,1741,0.15789473684210525
118,1748,0.05263157894736842
118,1750,0.05263157894736842
118,1783,0.10526315789473684
118,1795,0.10526315789473684
118,1820,0.10526315789473684
118,1840,0.15789473684210525
119,1695,0.01818181818181818
119,1698,0.01818181818181818
119,1701,0.03636363636363636
119,1706,0.09090909090909091
119,1709,0.01818181818181818
119,1713,0.05454545454545454
119,1719,0.07272727272727272
119,1734,0.07272727272727272
119,1751,0.03636363636363636
119,1759,0.03636363636363636
119,1764,0.07272727272727272
119,1767,0.09090909090909091
119,1785,0.03636363636363636
119,1786,0.05454545454545454
119,1789,0.07272727272727272
119,1798,0.09090909090909091
119,1803,0.01818181818181818
119,1812,0.01818181818181818
119,1828,0.01818181818181818
119,1837,0.07272727272727272
120,1695,0.2
120,1746,0.2
120,1776,0.2
120,1802,0.2
120,1807,0.2
121,1695,0.018867924528301886
121,1698,0.018867924528301886
121,1699,0.05660377358490566
121,1704,0.05660377358490566
121,1707,0.05660377358490566
121,1709,0.05660377358490566
121,1715,0.05660377358490566
121,1720,0.05660377358490566
121,1724,0.018867924528301886
121,1734,0.03773584905660377
121,1744,0.018867924528301886
121,1747,0.05660377358490566
121,1752,0.05660377358490566
121,1766,0.05660377358490566
121,1774,0.05660377358490566
121,1775,0.05660377358490566
121,1782,0.05660377358490566
121,1791,0.05660377358490566
121,1808,0.03773584905660377
121,1813,0.05660377358490566
121,1837,0.018867924528301886
121,1854,0.03773584905660377
122,1721,0.07692307692307693
122,1723,0.038461538461538464
122,1732,0.038461538461538464
122,1740,0.07692307692307693
122,1742,0.07692307692307693
122,1747,0.038461538461538464
122,1774,0.038461538461538464
122,1790,0.07692307692307693
122,1799,0.038461538461538464
122,1803,0.07692307692307693
122,1813,0.11538461538461539
122,1822,0.07692307692307693
122,1844,0.11538461538461539
122,1846,0.11538461538461539
123,1695,0.02857142857142857
123,1698,0.02857142857142857
123,1714,0.02857142857142857
123,1721,0.05714285714285714
123,1740,0.05714285714285714
123,1741,0.05714285714285714
123,1742,0.05714285714285714
123,1746,0.05714285714285714
123,1747,0.05714285714285714
